Country or area,Year,Maternal Mortality Estimate,Range,Year range,Infant Mortality,Under 5 Mortality
Somalia,2010,1000,[460-2400],2010-2015,100,162
South Africa,2010,300,[150-500],2010-2015,46,64
Spain 18,2010,6,[4-7],2010-2015,4,4
Sri Lanka,2010,35,[25-49],2010-2015,11,13
Sudan 19,2010,730,[380-1400],2010-2015,57,87
Suriname,2010,130,[89-190],2010-2015,20,27
Swaziland,2010,320,[160-670],2010-2015,65,92
Sweden,2010,4,[2-7],2010-2015,3,3
Switzerland,2010,8,[4-15],2010-2015,4,5
Syrian Arab Republic,2010,70,[41-110],2010-2015,14,16
Tajikistan,2010,65,[29-150],2010-2015,51,65
TFYR Macedonia 20,2010,10,[3-31],2010-2015,13,15
Thailand,2010,48,[33-70],2010-2015,11,13
Timor-Leste,2010,300,[160-560],2010-2015,56,76
Togo,2010,300,[180-530],2010-2015,67,104
Tokelau,…,…,…,2000-2003,31,…
Tonga,2010,110,[50-260],2010-2015,21,25
Trinidad and Tobago,2010,46,[26-84],2010-2015,24,31
Tunisia,2010,56,[29-110],2010-2015,18,23
Turkey,2010,20,[13-32],2010-2015,20,23
Turkmenistan,2010,67,[29-150],2010-2015,49,62
Tuvalu,…,…,…,2006-2008,17,…
Uganda,2010,310,[200-500],2010-2015,72,114
Ukraine,2010,32,[24-43],2010-2015,12,15
United Arab Emirates,2010,12,[5-27],2010-2015,7,8
United Kingdom,2010,12,[10-14],2010-2015,5,6
United Republic of Tanzania 21,2010,460,[190-740],2010-2015,54,81
United States of America,2010,21,[18-23],2010-2015,6,8
United States Virgin Islands,…,…,…,2010-2015,10,12
Uruguay,2010,29,[21-39],2010-2015,12,15
Uzbekistan,2010,28,[23-34],2010-2015,44,53
Vanuatu,2010,110,[46-240],2010-2015,24,29
Venezuela (Bolivarian Republic of),2010,92,[78-110],2010-2015,15,20
Viet Nam,2010,59,[27-130],2010-2015,18,23
Wallis and Futuna Islands,…,…,…,2005-2008,5,…
Western Sahara,…,…,…,2010-2015,36,45
Yemen,2010,200,[110-370],2010-2015,44,57
Zambia,2010,440,[220-790],2010-2015,81,130
Zimbabwe,2010,570,[320-920],2010-2015,47,71
